stage	driver	gran	nlr	seed	acc	forget	probe	a_h0	a_h1	a_out	acc_live
anchor	ach_ema	global	0.001	42	0.901872	0.085457	0.216600	0.116764	0.116764	0.116764	0.901872
anchor	ach_ema	neuron	0.001	42	0.901696	0.085324	0.214100	0.156764	0.094766	0.033848	0.901696
anchor	ach_ema	synapse	0.001	42	0.900961	0.085659	0.217800	0.031670	0.023959	0.037425	0.900961
deadchk	ach	global	0	42	0.993482	0.003228	0.211500	0.000000	0.000000	0.000000	0.993482
deadchk	ach	neuron	0	42	0.993482	0.003228	0.211500	0.000000	0.000000	0.000000	0.993482
deadchk	ach	synapse	0	42	0.993482	0.003228	0.211500	0.000000	0.000000	0.000000	0.993482
deadchk	vecproj	global	0	42	0.994133	0.003065	0.684700	0.000000	0.000000	0.000000	0.994133
deadchk	vecproj	neuron	0	42	0.994133	0.003065	0.684700	0.000000	0.000000	0.000000	0.994133
deadchk	vecproj	synapse	0	42	0.994133	0.003065	0.684700	0.000000	0.000000	0.000000	0.994133
base	er	-	0	42	0.994133	0.003065	nan	0.000000	0.000000	0.000000	0.994133
base	er	-	0	43	0.993422	0.003381	nan	0.000000	0.000000	0.000000	0.993422
base	er	-	0	44	0.992675	0.003739	nan	0.000000	0.000000	0.000000	0.992675
dead	ach	global	0	42	0.993482	0.003228	0.211500	0.000000	0.000000	0.000000	0.993482
dead	ach	global	0	43	0.993802	0.003384	0.211500	0.000000	0.000000	0.000000	0.993802
dead	ach	global	0	44	0.992387	0.003722	0.211500	0.000000	0.000000	0.000000	0.992387
dead	ach_ema	global	0	42	0.993482	0.003228	0.211500	0.000000	0.000000	0.000000	0.993482
dead	ach_ema	global	0	43	0.993802	0.003384	0.211500	0.000000	0.000000	0.000000	0.993802
dead	ach_ema	global	0	44	0.992387	0.003722	0.211500	0.000000	0.000000	0.000000	0.992387
dead	nerisez	global	0	42	0.993482	0.003228	0.211500	0.000000	0.000000	0.000000	0.993482
dead	nerisez	global	0	43	0.993802	0.003384	0.211500	0.000000	0.000000	0.000000	0.993802
